GUID,AIRTIME,ARTIST,TRACK
6d8b354a-34b2-4f69-9622-5010686ec092,Jason Derulo,Want to Want Me,2022-07-06T16:15:25+02:00
551cffb9-7787-490e-a72e-805d512ebebe,"ATB, Topic & A7S",Your Love (9PM),2022-07-06T16:12:58+02:00
65c8ae97-392b-4464-6c01-5f1ed6bf26ad,Lil Nas X,THATS WHAT I WANT,2022-07-06T16:10:05+02:00
c3cb2e1f-d765-4a94-71a1-6a4a39f3469f,Gestört aber GeiL x Anna Grey,Thank You,2022-07-06T16:05:30+02:00
c52cb8bb-dfd3-4c67-bf6d-bb26b3f7fad3,Ed Sheeran,Galway Girl,2022-07-06T16:02:28+02:00
14f1280d-b8de-47a2-6823-6964850115de,Ofenbach x Ella Henderson,Hurricane,2022-07-06T16:00:02+02:00
8c74f66f-d41d-46b9-af69-a8982efce375,Die Ärzte,Zu spät,2022-07-06T15:50:31+02:00
8b1d58ca-1586-436d-5b95-bf11f5199141,Dua Lipa,Love Again,2022-07-06T15:46:44+02:00
3e6f2da7-4c88-41ee-3bb1-28a5ef5f00cd,Rag'n'Bone Man,Skin,2022-07-06T15:43:22+02:00
5069e6d7-570b-4f68-1ab2-79a9984629a1,Purple Disco Machine & Sophie and the Giants,In The Dark,2022-07-06T15:40:10+02:00
574e19e6-af77-452a-351a-687ebc200a3a,Rihanna,Diamonds,2022-07-06T15:35:06+02:00
8ad648ff-9ee8-4154-cf20-a57ac13cf4f2,Lost Frequencies & Calum Scott,Where Are You Now,2022-07-06T15:32:29+02:00
c8a198b4-6b8d-4a13-f6df-d36b0e19cbff,Coldplay,Higher Power,2022-07-06T15:29:08+02:00
fc9a99e6-1945-43ad-2726-dc88e4221f01,Everything But the Girl,Missing,2022-07-06T15:21:20+02:00
01786edb-9a05-4325-662a-8a39aa3e4319,Dynoro & Gigi D'Agostino,In My Mind,2022-07-06T15:18:12+02:00
75749a6a-e071-404b-bb8f-65601409822e,ClockClock,Sorry,2022-07-06T15:15:12+02:00
58b8fad1-9c42-43bd-06aa-8346fc8b1794,Ava Max,Maybe You’re The Problem,2022-07-06T15:11:05+02:00
8652fb09-00b3-4eac-4787-0beaeeeba8bf,Black Eyed Peas,I Gotta Feeling,2022-07-06T15:06:34+02:00
f194a464-7ae2-4a82-13e2-264f044585aa,The Weeknd,Save Your Tears,2022-07-06T15:02:52+02:00
0a544b92-dfa1-4603-3576-5bbf8c3569fd,"Imagine Dragons, JID, League of Legends",Enemy (Non Rap Version),2022-07-06T15:00:04+02:00
fa6872ea-a637-4c07-2af0-273c4dda9e69,Falco,Out of the Dark,2022-07-06T14:49:14+02:00
a56ca645-a2c8-498c-7eec-3cc9ba08928b,Ofenbach,Wasted Love (feat. Lagique),2022-07-06T14:47:00+02:00
b3628a4c-fb20-4146-2cb7-a0b8a9dcd54d,ZAYN,Dusk Till Dawn (feat. Sia),2022-07-06T14:43:40+02:00
05cff18b-77bf-40d9-9f6a-b378134ee167,Jax Jones & MNEK,Where Did You Go?,2022-07-06T14:40:40+02:00
